employer_name,count
ТД УНИТОРГ,4
Банк Синара,1
Одиссей-Шип-Сервис,4
РусГидро ОЦО,8
Владивостокский центр охраны труда,1
"Кадровый центр, qWell",7
100 ТОНН МОНТАЖ,1
Восток-УАЗ,3
СЛК-Сервис,2
Петон Констракшн,1
Лысенко Наталия Андреевна,1
"Сибирский Бизнес, Группа Компаний",2
СМ Групп,1
ТИС Лоджистик,1
Ристретто,8
MEDLIGA,1
МЕГАТЭКС,1
Eyfel Parfume (ИП Шайтанова Надежда Юрьевна),1
Залевская Наталья Андреевна,1
Kobra Robra (ИП Субботин Вячеслав Сергеевич),2
Портнефтесервис,1
Центр найма курьеров,2
Рея,3
MIXIT магазин натуральной косметики,1
ЦЕНТР ПОЛА,2
Владивостокский морской рыбный порт,2
Компания БКС,1
Бигль,4
Автосити-Нск,3
Чукотская Торговая Компания,1
Силайн Диджитал,1
НТС ГРУПП,3
Levita (ИП Горячковский Руслан Федорович),1
Министерство Экономического Развития Приморского Края,2
Звезда Морские Технологии,2
Акцент,7
ES Transit,1
Апогей-ВЛД,4
Группа компаний «Армада»,4
ПИК Геодездв,3
МегаИмпортГрупп,2
OkiDoki,5
Первый Дальневосточный Центр Здоровые Сосуды,1
"Группа компаний ЭРКАФАРМ (аптечные сети Озерки, Доктор Столетов)",2
Спец Империал,1
Арифметика,1
МАУ ДО Владивостокский Городской Дворец Детского Творчества,1
Дальпико-Рыбсервис,1
Priority Center,2
Дальневосточная логистическая компания,2
Сибинструмент,4
МБОУ СОШ 61,2
Идэн Инжиниринг,1
"Нерей, Торговая Компания",1
ЕОС РУС,1
Лайнер,2
Митрушова Ирина Владимировна,1
Центр Инженерной Безопасности,1
Профметмебель,3
ВСК Флагман,1
АвтоМастер,2
АСК-Групп,1
Специализированный застройщик «Тим-Групп Девелопмент»,2
Чайна Деливери,1
Реферта,2
Прайм,7
ЭверНит,4
Акватехнологии,1
Солди,4
Ист Эдженси,2
ТД Зелёный остров,3
Интэнт,3
Тэлстрой,4
ДГС,5
Ти ЭМ Си Авто,1
Квартирант Плюс,3
ГК Макнот,3
Частная школа Лига знаний,1
PrimaMedia,4
Строй Инновации,1
Альянс ДВ,2
Солонец Софья Геннадьевна,1
СТРОМИКС,2
Аксиос Инжиниринг,6
Примтеркомбанк,3
Зооград,13
ГК Кристал Альянс,1
ФГБУ Науки Институт Проблем Морских Технологий Дальневосточного отделения Российской Академии Наук,5
Славда-ТРЭЙД,1
ПКФ ДВ-Пласт,10
Искра.Эксперт,1
Мит ДВ,1
ТИЭМЭЛ РУС,3
Алекс-Прим,1
ТК РусГидро,4
Современные Лифтовые Машины,1
Центр развития инвестиций,1
Арлекин,3
РЕКОРД,1
Бизнестайм,3
Азия,1
СТК Магнит,1
Министерство ГОЧС Приморского края,1
Агентство Проектного Управления Приморского Края,2
Летс Интерпрайз,1
Farcaster,4
Экспобанк,2
ГК Дальневосточный Фасад,1
Дальлак,2
МУП города Владивосток Владивостокское предприятие электрических сетей,4
Оранж-Групп,1
минимаркеты Раз Два,6
ЧизЛайн,1
Бас-ДВ,2
Современные Инженерные Решения,2
РТ-Инвест Транспортные Системы,1
ВЛАДКОСМЕТИК,1
FutureToday,1
Габбасова Джулия Азатовна,2
Бенуар Владивосток,10
Языкова Оксана Анатольевна,4
Группа Самолет,2
Камдео,1
MILANA Shoes & Accessories,1
СТФ Технолоджи,1
BAT Russia,2
International Joint Research Center for Nanophotonics and Metamaterials,1
Skilla Работа,1
Элемент Лизинг,2
Муравецкая Ольга Владимировна,1
ЮНИСТРИМ БАНК,1
Fun Jump,5
Управляющая Компания Регион 25,3
МедБизнесКонсалтинг,1
Трамис,2
Азия Кредит,1
Курьер - Центр Найма,4
Чиббис,1
Пенткрофт Фарма,1
РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ЕВРОИНС,1
ГК РСХ,1
Миралек,1
ГАРВИН (ГК ГаражТулс),1
ГАЛА-ЦЕНТР,1
Нефтегазстройэксперт,1
АФ Транс,2
СХУ,2
Информационный центр,1
Аутком,1
КИТ,3
Pay P.S.,1
Юнилин,1
LITOKOL,1
COLDY,1
Терминал Плюс,1
СИМБИО,1
Бельведер,12
СэллАрт-ДВ,3
Калашникова Алёна,1
MAXIMUM EDUCATION,2
Сервис Плюс,1
Открытие Инвестиции,1
СИБДРАЙВ,2
Beijing Dingxin Jiacheng Investment Management Co,1
Ривьера,1
АРМ,1
РУСТЕЛ ИННОВАЦИИ,1
NOVIK COUNTRY CLUB,9
Дальневосточный региональный центр охраны труда,1
РС ПРОЕКТ,1
MC-Bauchemie,1
EKF,2
ПРОФСНАБ,2
X5 Digital,1
ГЕОЛАЙН,1
ГК Евросервис,1
ИТК ТЕХНОЛОГИЯ,2
Трейд Групп,1
СВГ,4
Сажина Марина Анатольевна,3
Промстроймонтаж,1
РЕКОРД ТРЕЙД,1
Файбертул,2
Группа компаний Сертификейшен Групп,1
Федотов Егор Игоревич,1
ЭСК Корпус,1
Хигаши,1
Влб-Брокер,1
"Войсковая часть 40128, Минобороны России",1
Nexign (АО Нэксайн),1
Японский центр,1
Ахмедов Гурбан,1
Нэвис Шиппинг,2
ПримПроект,1
Island soul,1
Все для АЗС,1
Я.Курьер (ИП Парфенова Дарья Олеговна),7
Невский кондитер,1
НУЖНЫЕ ЛЮДИ,1
Тесли,3
Дёрова Лина Владимировна,1
ДВ-Массив,1
Абдирахманов Хуршид Махмадали Угли,1
Рогулин Михаил Сергеевич,1
Акку-Фертриб,1
"БЕЛУПО, лекарства и косметика д.д.",1
ИМТРЕЙД,6
Профессионал,2
Салихов Рестям Самиуллович,1
ПРИМ-ХОЛОД,1
CК Райдекс,1
"Emerging Travel Group (Ostrovok.ru, B2B.Ostrovok, RateHawk, ZenHotels)",1
Проф-Тон Групп,1
Группа компаний Астра,6
"Институт Тренинга - АРБ Про, группа компаний",1
Ма Бутэ,2
Travelmart,1
Торговый дом БалтМедБизнес,1
Караваева Елена Александровна,2
ГК Альянс,3
СБСС,1
Аврора Спг Владивосток,1
КапиталЪ,2
Мэлон Фэшн Груп,3
Валова Екатерина Дмитриевна,2
Транзит 27,2
Дискавери Лайн,2
MARMALATO,2
FINN FLARE,3
Глобал HR (ИП Вяткин Максим Анатольевич),2
Диалог Регионы,1
ФКУ Центр по обеспечению деятельности Казначейства России,3
2k-line.ru,3
City Express,1
МАКСБИТСОЛЮШЕН,1
Металл-Инвест,1
Ключко Дарья Алексеевна,1
Z11 магазин мужской одежды,1
Восток,2
Мореодор,1
ОРИЕНТ-ГРУПП,2
"Zoomlion Heavy Industry Science&Technology Co., Ltd.",1
Инвиктика,1
Приморский филиал ООО Амурский бройлер,1
Регион Строй,1
Эф.Эс. Макензи,1
РИГ,3
Кадровое агентство «Лаборатория T&D Lab»,1
Laboratory Online,9
СИИ,2
ИНФОСТРОЙ-ДВ,4
